mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,0.030279159545898438,7.703542709350586,0.031232833862304688
mig,0.6,21.87824249267578,5.163908004760742,11.77835464477539
mps-uncap,0.7,0.034928321838378906,19.41227912902832,5.22923469543457
mig,0.7,38.562893867492676,11.143684387207031,21.39437198638916
mps-uncap,0.8,0.033974647521972656,130.1722526550293,16.080856323242188
mig,0.8,60.097455978393555,18.344521522521973,42.38605499267578
mps-uncap,0.9,17.487406730651855,6726.694703102112,37.659645080566406
mig,0.9,309.3430995941162,57.16443061828613,77.05283164978027
mps-uncap,1.0,24.434685707092285,15094.840168952942,91.39204025268555
mig,1.0,2867.9163455963135,781.262993812561,477.30493545532227
mps-uncap,1.1,30.092239379882812,18652.16565132141,1967.538833618164
mig,1.1,5684.122085571289,4958.053112030029,2980.7329177856445
mps-uncap,1.2,94.60234642028809,21913.950204849243,9790.566444396973
mig,1.2,7565.359830856323,6655.38215637207,8431.275367736816
mps-uncap,1.3,169.18110847473145,26685.447692871094,13225.666880607605
mig,1.3,10995.442390441895,9597.415447235107,9596.613645553589
