mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,29.451847076416016,11.815547943115234,17.305374145507812
mig,0.6,60.94813346862793,14.333963394165039,34.970998764038086
mps-uncap,0.7,29.484033584594727,11.796951293945312,17.289161682128906
mig,0.7,60.72235107421875,14.317035675048828,34.91067886352539
mps-uncap,0.8,29.506683349609375,11.815071105957031,17.625093460083008
mig,0.8,60.76645851135254,14.327764511108398,34.94000434875488
mps-uncap,0.9,32.90104866027832,11.959075927734375,17.797231674194336
mig,0.9,60.88733673095703,14.313220977783203,34.967899322509766
mps-uncap,1.0,33.067941665649414,11.8560791015625,17.322063446044922
mig,1.0,61.00821495056152,14.379024505615234,34.94572639465332
mps-uncap,1.1,33.3857536315918,11.854171752929688,17.482757568359375
mig,1.1,61.16366386413574,14.432191848754883,35.031795501708984
mps-uncap,1.2,35.439252853393555,11.94310188293457,17.398595809936523
mig,1.2,61.23638153076172,14.421463012695312,35.054683685302734
mps-uncap,1.3,35.91775894165039,12.047529220581055,17.444372177124023
mig,1.3,61.37895584106445,14.437198638916016,35.14575958251953
