mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,29.48164939880371,11.890172958374023,17.404556274414062
mig,0.6,60.985565185546875,14.35232162475586,35.02798080444336
mps-uncap,0.7,29.554367065429688,11.847496032714844,17.499685287475586
mig,0.7,60.75334548950195,14.351367950439453,34.95144844055176
mps-uncap,0.8,29.61587905883789,11.90495491027832,17.78697967529297
mig,0.8,60.903310775756836,14.392614364624023,34.958600997924805
mps-uncap,0.9,32.92131423950195,12.95924186706543,17.922163009643555
mig,0.9,60.98365783691406,14.437675476074219,35.01415252685547
mps-uncap,1.0,33.08916091918945,31.713485717773438,17.567157745361328
mig,1.0,61.107635498046875,14.401435852050781,34.96098518371582
mps-uncap,1.1,33.405303955078125,12.688159942626953,17.710208892822266
mig,1.1,61.19060516357422,14.523744583129883,35.05134582519531
mps-uncap,1.2,35.46142578125,24.43552017211914,18.138647079467773
mig,1.2,61.254262924194336,14.519214630126953,35.68077087402344
mps-uncap,1.3,35.939931869506836,26.095151901245117,18.043994903564453
mig,1.3,61.57326698303223,14.517068862915039,35.164594650268555
