mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,38.24281692504883,12.598752975463867,18.88275146484375
mig,0.6,63.307762145996094,14.934062957763672,35.652875900268555
mps-uncap,0.7,41.60785675048828,12.578487396240234,19.338369369506836
mig,0.7,62.42167949676514,14.618635177612305,35.46786308288574
mps-uncap,0.8,40.66324234008789,12.92276382446289,20.347118377685547
mig,0.8,61.68532371520996,14.56594467163086,35.35914421081543
mps-uncap,0.9,41.15748405456543,13.944149017333984,24.155616760253906
mig,0.9,61.90156936645508,14.609694480895996,35.47561168670654
mps-uncap,1.0,41.463255882263184,15.205979347229004,30.609488487243652
mig,1.0,62.10827827453613,14.671564102172852,35.58957576751709
mps-uncap,1.1,41.649580001831055,23.44369888305664,34.92093086242676
mig,1.1,62.055110931396484,14.670848846435547,35.604238510131836
mps-uncap,1.2,43.89667510986328,25.09021759033203,43.42842102050781
mig,1.2,62.023162841796875,14.676809310913086,35.608768463134766
mps-uncap,1.3,41.713714599609375,32.1497917175293,44.80457305908203
mig,1.3,62.09754943847656,14.670372009277344,35.60328483581543
