mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,293.48130379795725,313.704356280762,131.22957278590746
mig,0.6,307.91977439974215,318.631976007465,131.55254976665978
mps-uncap,0.7,358.7575396028278,379.1883432245406,157.13837557436995
mig,0.7,337.02527135691065,371.7420014742774,152.04457511971597
mps-uncap,0.8,392.9503241912022,425.36467808545945,179.15248313043452
mig,0.8,400.9749388358783,431.1560659736564,177.08959398656748
mps-uncap,0.9,468.86720349788044,407.6289195501558,205.032141840729
mig,0.9,477.1365088964208,499.5516452746332,197.72599094548448
mps-uncap,1.0,508.43000046248306,380.04387793163636,219.14548410357332
mig,1.0,507.0088490160558,533.5743721320301,218.15106713003848
mps-uncap,1.1,560.4976394523878,346.57407002599814,240.98140668419032
mig,1.1,505.92426370049003,539.7666940918118,223.07455767933277
mps-uncap,1.2,631.491962119928,340.2529802592877,213.99583614248525
mig,1.2,511.2334338114373,539.9395506778284,223.79171073932037
mps-uncap,1.3,693.2381711296662,279.3953097548349,199.43128868659673
mig,1.3,510.48999423532035,538.7359131570204,223.1820673897597
