mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,37.310004234313965,47.88732528686524,33.9665412902832
mig,0.6,115.68160057067877,29.5708179473877,69.12469863891602
mps-uncap,0.7,47.08671569824219,77.66127586364746,58.38294029235838
mig,0.7,177.12461948394775,45.565128326416016,90.58203697204591
mps-uncap,0.8,53.0261516571045,657.4487686157227,104.5907020568848
mig,0.8,241.64228439331055,65.16551971435548,159.51457023620608
mps-uncap,0.9,90.459942817688,10635.007548332225,191.5740966796875
mig,0.9,1810.9899520874021,184.12740230560303,247.34907150268563
mps-uncap,1.0,100.49185752868655,25208.96005630493,373.8046169281006
mig,1.0,5558.02960395813,1033.5578441619873,1012.5646591186523
mps-uncap,1.1,116.93019866943362,34327.17318534851,3477.283191680908
mig,1.1,9884.900093078613,7761.185884475708,5835.937118530274
mps-uncap,1.2,788.4268760681152,40163.29503059387,16133.528232574463
mig,1.2,13725.28166770935,12274.117159843445,15769.2369222641
mps-uncap,1.3,587.6265048980715,48469.75631713867,24771.467328071594
mig,1.3,21104.494428634644,18877.920150756836,18472.873210906982
