mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,46.54872417449951,31.72921180725098,45.71142196655274
mig,0.6,65.06781101226807,16.403684616088867,37.11223602294922
mps-uncap,0.7,46.97315692901611,32.38601684570312,46.23497009277344
mig,0.7,65.18917083740234,16.3343071937561,37.08989858627319
mps-uncap,0.8,44.800848960876465,36.641902923583984,49.18124198913575
mig,0.8,64.98215675354004,16.384382247924805,37.17046737670899
mps-uncap,0.9,44.88394260406494,37.14059829711914,49.494314193725565
mig,0.9,65.10872840881348,16.367659568786618,37.06861972808838
mps-uncap,1.0,45.00061750411987,37.27826833724975,49.836184978485115
mig,1.0,65.08864402770996,16.375761032104496,37.284724712371826
mps-uncap,1.1,44.800052642822266,37.36136436462402,49.78830337524414
mig,1.1,65.06192684173584,16.33533477783203,37.15290546417237
mps-uncap,1.2,47.45650291442871,33.966970443725586,47.45082855224609
mig,1.2,65.29349327087402,16.22493267059326,37.07088232040405
mps-uncap,1.3,43.891963958740234,37.47893810272217,50.59021711349487
mig,1.3,65.66596031188965,16.480846405029297,37.36871719360351
