mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,77.84903049468994,63.68479728698734,59.3411922454834
mig,0.6,178.9243221282959,44.48881149291992,104.71820831298828
mps-uncap,0.7,88.51468563079834,94.5289134979248,87.09125518798828
mig,0.7,238.95659446716314,60.235023498535156,126.4272689819336
mps-uncap,0.8,94.30234432220459,676.1489868164069,135.17079353332525
mig,0.8,303.9970397949218,80.05616664886475,194.96798515319827
mps-uncap,0.9,131.51309490203857,10663.44723701478,225.52490234375
mig,0.9,1875.160217285156,199.59905147552485,282.6104164123535
mps-uncap,1.0,141.897988319397,25229.716753959656,405.93435764312744
mig,1.0,5620.594549179077,1048.7958431243896,1048.0560064315796
mps-uncap,1.1,158.76865386962893,34348.80242347717,3506.0916423797617
mig,1.1,9946.877002716064,7776.850318908691,5871.624851226807
mps-uncap,1.2,833.2743644714355,40179.484844207764,16179.723262786865
mig,1.2,13787.546730041504,12288.794445991516,15804.839253425598
mps-uncap,1.3,629.0315628051759,48505.21297454834,24818.41802597046
mig,1.3,21168.246078491215,18892.97318458557,18508.574724197388
