mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,144.92083787918088,151.1095905303957,137.9446983337404
mig,0.6,321.3857102394111,76.85740470886228,203.89485359191895
mps-uncap,0.7,141.41012430191043,190.94924926757804,154.23383712768552
mig,0.7,361.82921648025507,116.19039773940985,234.68024730682347
mps-uncap,0.8,150.2780508995057,869.8741340637207,226.53143882751488
mig,0.8,507.2816181182869,139.09163236618045,314.57932949066173
mps-uncap,0.9,235.81241607666018,12552.977969646452,656.1914443969723
mig,0.9,2227.518663406372,393.0744838714599,419.2585921287541
mps-uncap,1.0,214.4162321090698,28168.608410358425,611.5119361877443
mig,1.0,6003.426837921143,1327.8764939308167,1257.5766968727116
mps-uncap,1.1,244.2592096328735,37262.20575332642,3876.883888244629
mig,1.1,10586.090207099916,8493.738040924072,6112.695412635803
mps-uncap,1.2,1449.305772781372,44722.59297370911,17840.541934967037
mig,1.2,15404.135484695435,13715.265188217163,17260.865473747257
mps-uncap,1.3,853.077917098999,54071.56457901001,28307.80076980591
mig,1.3,22604.034476280212,20852.558307647705,19881.60147666931
