mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,255.66482543945312,225.98958015441895,291.8355464935303
mig,0.6,563.1494522094727,119.55976486206055,277.9238224029541
mps-uncap,0.7,182.16681480407715,242.54488945007324,195.8460807800293
mig,0.7,419.9244976043701,194.58413124084473,270.3077793121338
mps-uncap,0.8,208.03523063659668,919.9573993682861,299.64637756347656
mig,0.8,604.6762466430664,242.37632751464844,398.3738422393799
mps-uncap,0.9,286.21506690979004,12888.698816299438,795.4502105712891
mig,0.9,2345.038652420044,422.89090156555176,471.297025680542
mps-uncap,1.0,271.90566062927246,28234.137058258057,751.349687576294
mig,1.0,6112.407445907593,1428.0543327331543,1352.8358936309814
mps-uncap,1.1,339.06006813049316,37673.86794090271,4061.9802474975586
mig,1.1,10789.480924606323,8714.375019073486,6220.675706863403
mps-uncap,1.2,1588.3867740631104,45128.12519073486,18021.66700363159
mig,1.2,15609.881401062012,13947.112083435059,17377.76231765747
mps-uncap,1.3,1067.6445960998535,54351.41324996948,28412.095308303833
mig,1.3,23025.840282440186,21166.584491729736,20215.769290924072
