mode,load,0_alexnet-2,1_densenet161-2,2_efficientnet_b6-16
mps-uncap,0.8,9.500079154968262,102.10924625396727,170.7087874412537
mps-uncap,0.9,23.657550811767347,350.208740234375,201.02092027664182
mps-uncap,1.0,78.12799215316771,2223.231978416443,754.0516376495358
mps-uncap,0.5,3.7819051742553724,40.09519815444962,54.745016098022255
mps-uncap,0.6,5.029916763305664,61.87862873077391,64.043664932251
mps-uncap,0.7,6.486163139343259,55.16111612319947,135.57910680770908
mps-uncap,0.1,1.0302066802978507,17.782115936279297,22.60923385620116
mps-uncap,0.2,1.424486637115479,21.93326711654663,21.911540031433102
mps-uncap,0.3,1.8441486358642574,28.732137680053714,31.05423450469973
mps-uncap,0.4,3.048174381256107,26.69876337051388,40.741736888885484
