mode,load,0_densenet121-4,1_efficientnet_b6-4,2_mobilenet_v3_large-32
mps-uncap,0.8,251.7620304199298,153.09199092915773,3729.3196641388768
mps-uncap,0.9,283.6855526776254,173.31226634894557,4287.601147755835
mps-uncap,1.0,295.8989360763992,192.03399105604507,4825.657486588548
mps-uncap,0.5,153.64485863619066,99.54915901193138,2366.1222512734976
mps-uncap,0.6,182.98319578445685,114.90465642110912,2780.2350454641537
mps-uncap,0.7,221.3834349247548,132.2328888247995,3243.0336726381092
mps-uncap,0.1,31.233897196092936,19.68317937374993,509.40277463692
mps-uncap,0.2,62.276434083721504,37.95698252882471,967.5807182501625
mps-uncap,0.3,94.79166851511302,57.76019135293122,1439.922039474476
mps-uncap,0.4,121.28354835792193,75.80334542599255,1837.879656035427
