mode,load,0_densenet201-16,1_resnet34-32,2_vgg13-16
mps-uncap,0.8,141.86353683471685,52.449703216552734,39.42875862121583
mps-uncap,0.9,349.4916439056397,115.76776504516603,93.58704090118408
mps-uncap,1.0,1031.9406986236572,563.1524562835693,560.9586238861084
mps-uncap,0.5,60.04452705383306,22.85146713256836,18.62776279449463
mps-uncap,0.6,82.31019973754883,26.42512321472168,21.338319778442386
mps-uncap,0.7,95.4171180725098,31.127548217773445,27.271604537963864
mps-uncap,0.1,29.98800277709961,11.55285835266114,9.458637237548826
mps-uncap,0.2,31.94632530212403,13.348937034606934,10.97412109375
mps-uncap,0.3,36.7943525314331,14.946937561035156,13.742566108703613
mps-uncap,0.4,45.273685455322266,19.45209503173828,15.260934829711912
