mode,load,0_densenet169-16,1_mobilenet_v3_small-8,2_resnet34-8
mps-uncap,0.8,16.761302947998047,4.022359848022461,3.395557403564453
mps-uncap,0.9,16.83330535888672,4.04667854309082,3.457784652709961
mps-uncap,1.0,16.77250862121582,4.182338714599609,3.3528804779052734
mps-uncap,0.5,16.559839248657227,3.9801597595214844,3.339052200317383
mps-uncap,0.6,17.04573631286621,4.0645599365234375,3.342866897583008
mps-uncap,0.7,16.67046546936035,4.016637802124023,3.4143924713134766
mps-uncap,0.1,16.94178581237793,4.103422164916992,4.177093505859375
mps-uncap,0.2,16.854286193847656,4.067420959472656,3.475189208984375
mps-uncap,0.3,16.67928695678711,3.977060317993164,3.347158432006836
mps-uncap,0.4,16.727924346923828,4.134178161621094,3.356456756591797
