mode,load,0_inception_v3-8,1_inception_v3-8
mig,0.1,132.73698526015437,129.99567572546295
mig,0.2,260.83842465478784,257.562359260288
mig,0.3,382.98822301957233,374.6311473960868
mig,0.4,513.3216771966394,507.53865645918967
mig,0.5,634.8919129875813,632.7682728297696
mig,0.6,756.75099614665,751.7906414841922
mig,0.7,903.1717726329462,893.7513678267184
mig,0.8,1006.0624466635005,1021.1491166720784
mig,0.9,1147.5936674154725,1122.172291778451
mig,1.0,1275.0196007034647,1122.236799189857
