mode,load,0_inception_v3-8,1_inception_v3-8
mig,0.1,0.011920928955078125,0.01239776611328125
mig,0.2,0.011682510375976562,0.012159347534179688
mig,0.3,0.010967254638671875,0.011444091796875
mig,0.4,0.009775161743164062,0.009298324584960938
mig,0.5,0.010967254638671875,0.010967254638671875
mig,0.6,0.009775161743164062,0.010251998901367188
mig,0.7,0.0095367431640625,0.009298324584960938
mig,0.8,0.009298324584960938,0.010251998901367188
mig,0.9,0.010251998901367188,0.017881393432617188
mig,1.0,0.010728836059570312,0.012636184692382812
