mode,load,0_inception_v3-8,1_inception_v3-8
mig,0.1,0.057697296142578125,0.05745887756347656
mig,0.2,0.052928924560546875,0.05316734313964844
mig,0.3,0.04601478576660156,0.05030632019042969
mig,0.4,0.04363059997558594,0.04696846008300781
mig,0.5,0.17547607421875,2.1109580993652344
mig,0.6,1.7511844635009766,4.951238632202148
mig,0.7,3.622770309448242,8.225440979003906
mig,0.8,5.28717041015625,22.394895553588867
mig,0.9,10.898232460021973,973.6027717590332
mig,1.0,28.20444107055664,4118.97349357605
