mode,load,0_efficientnet_b7-32,1_resnet152-8,2_resnet34-2
mps-uncap,0.8,71.25365734100342,47.96647548675537,20.731034278869625
mps-uncap,0.9,70.76337337493896,47.48739004135132,20.613327026367188
mps-uncap,1.0,66.59768104553223,54.91538047790527,22.12873220443725
mps-uncap,0.5,69.53795433044434,47.40190505981445,19.342424869537357
mps-uncap,0.6,69.67206954956055,47.16468334197998,19.670004844665524
mps-uncap,0.7,70.38312673568726,47.06707000732422,20.13944149017333
mps-uncap,0.1,81.17546081542972,45.88841676712037,18.098735809326165
mps-uncap,0.2,65.92691421508786,44.322719573974595,17.468929290771488
mps-uncap,0.3,67.37156867980956,46.32654190063477,18.49563121795654
mps-uncap,0.4,68.45495462417601,46.38267755508423,18.99378061294555
