mode,load,0_vgg19-32,1_vgg19-32,2_vgg19-32,3_vgg19-32
mig,0.1,128.5429954528808,129.41040992736816,74.58542585372923,236.30878448486328
mig,0.2,142.3761653900146,188.18926811218262,141.91811084747306,351.9959926605225
mig,0.3,281.48699283599865,188.20943832397467,212.93607950210577,390.71333885192865
mig,0.4,207.93828010559082,246.46557807922366,207.14035987854018,470.4737091064446
mig,0.5,284.6044206619263,256.709384918213,280.2791452407838,399.4510674476624
mig,0.6,285.66288232803345,330.9131503105157,514.4350171089163,605.4204225540163
mig,0.7,387.832942008972,482.81005859375085,545.1791977882384,713.9416122436521
mig,0.8,443.22876930236794,454.9810791015625,493.5330820083621,969.8986816406256
mig,0.9,952.5132894515989,566.7544841766356,679.7628402709962,1500.739450454712
mig,1.0,2606.0713648796077,2562.479386329651,2205.8667325973506,2443.3276629447937
