mode,load,0_densenet161-2,1_densenet161-2,2_densenet161-2,3_densenet161-2
mig,0.1,23.947982788085934,25.352144241333004,24.812951087951646,25.478177070617676
mig,0.2,25.933828353881832,23.42485427856442,25.398163795471188,26.173322200775146
mig,0.3,17.811565399169922,18.22545051574707,17.812883853912357,22.729032039642334
mig,0.4,17.535698413848873,17.363500595092773,17.579817771911618,18.53875160217285
mig,0.5,16.195881366729743,16.409044265747067,16.072664260864258,18.532776832580566
mig,0.6,13.293447494506832,13.851773738861082,13.320493698120124,18.51616859436035
mig,0.7,12.985382080078125,12.790956497192381,12.735617160797117,18.52038860321045
mig,0.8,12.400505542755127,12.44417667388916,12.114171981811522,18.45057487487793
mig,0.9,11.614549160003694,12.2289514541626,11.608719825744629,18.44900131225586
mig,1.0,11.411328315734863,10.813932418823242,10.998992919921875,18.366050720214844
