mode,load,0_densenet161-2,1_densenet161-2,2_densenet161-2,3_densenet161-2
mig,0.1,50.74715614318848,62.17479705810547,46.56076431274414,48.93779754638672
mig,0.2,45.28641700744629,53.62844467163086,53.34281921386719,56.191444396972656
mig,0.3,62.22176551818848,64.35465812683105,54.50916290283203,69.0455436706543
mig,0.4,73.25077056884766,63.271522521972656,56.473493576049805,79.92362976074219
mig,0.5,55.61995506286621,72.80898094177246,59.16786193847656,127.14242935180664
mig,0.6,107.73754119873047,70.24550437927246,100.80742835998535,170.86148262023926
mig,0.7,123.96049499511719,133.4395408630371,88.76466751098633,185.3499412536621
mig,0.8,162.36591339111328,190.7815933227539,168.75457763671875,267.28224754333496
mig,0.9,273.822546005249,288.3601188659668,299.75247383117676,298.28953742980957
mig,1.0,1590.1906490325928,779.5641422271729,407.5930118560791,1193.396806716919
