mode,load,0_densenet169-32,1_densenet169-32,2_densenet169-32,3_densenet169-32
mig,0.1,60.91517823479832,47.916760965899684,51.81099171885672,27.911861814577254
mig,0.2,104.1880485477035,115.42648761138398,108.82985211894135,54.08072842352233
mig,0.3,165.15723521005074,151.48207472221944,148.3803862681832,91.7371075820295
mig,0.4,216.3175735570717,207.19547960253598,207.36017487110172,106.67705669688748
mig,0.5,251.90132341693902,254.84966435204552,275.5838633365838,149.94765023368745
mig,0.6,324.0058874651528,320.5338571557605,332.61756584108383,164.9371318083278
mig,0.7,352.78700467518973,339.1502723159651,357.11616923006835,229.43617637069698
mig,0.8,434.51590631223803,418.90850925896274,440.16820166908684,214.95019629078146
mig,0.9,480.28942661272646,478.6948829698965,467.25056261401295,244.85021414955574
mig,1.0,512.3610244776315,507.1738889522559,515.5863589481246,273.02549011659875
