mode,load,0_densenet169-2,1_inception_v3-32,2_vgg16-8
mps-uncap,0.8,35.663604736328125,30.95555305480957,7.947254180908204
mps-uncap,0.9,40.923261642456055,32.25846290588379,8.129644393920898
mps-uncap,1.0,43.40362548828125,33.36319923400879,8.380556106567383
mps-uncap,0.5,25.281667709350586,24.85332489013672,6.818056106567383
mps-uncap,0.6,25.996112823486335,27.602291107177734,7.357025146484375
mps-uncap,0.7,30.78360557556154,28.7506103515625,7.588243484497074
mps-uncap,0.1,26.192998886108402,14.82524871826172,5.458354949951172
mps-uncap,0.2,26.64191722869873,15.648961067199707,5.645608901977539
mps-uncap,0.3,26.029443740844727,18.634033203125,5.99980354309082
mps-uncap,0.4,25.778579711914062,19.957542419433594,6.251978874206543
