mode,load,0_densenet169-2,1_inception_v3-32,2_vgg16-8
mps-uncap,0.8,129.05526161193848,154.76279258728027,52.323427200317404
mps-uncap,0.9,195.85919857025112,211.79053306579536,72.50732660293579
mps-uncap,1.0,3269.027688503265,1758.4988021850588,365.5725431442261
mps-uncap,0.5,46.835327148437486,48.5433292388916,22.11301326751712
mps-uncap,0.6,48.94953727722163,73.58747243881241,29.73446369171138
mps-uncap,0.7,78.56527328491255,91.25143051147455,36.207342147827156
mps-uncap,0.1,44.01062965393067,23.84463548660274,10.288572311401367
mps-uncap,0.2,42.85593986511231,23.220524787902832,12.480144500732443
mps-uncap,0.3,46.325206756591804,31.030797958374027,14.124422073364247
mps-uncap,0.4,45.433833599090576,50.44120550155642,18.662075996398926
