mode,load,0_densenet169-2,1_inception_v3-32,2_vgg16-8
mps-uncap,0.8,0.011444091796875,0.012159347534179688,0.009298324584960938
mps-uncap,0.9,0.01239776611328125,0.012159347534179688,0.010251998901367188
mps-uncap,1.0,0.017404556274414062,0.014066696166992188,0.010251998901367188
mps-uncap,0.5,0.012159347534179688,0.01239776611328125,0.01049041748046875
mps-uncap,0.6,0.011920928955078125,0.011920928955078125,0.010013580322265625
mps-uncap,0.7,0.011920928955078125,0.011920928955078125,0.008821487426757812
mps-uncap,0.1,0.022172927856445312,0.028133392333984375,0.018358230590820312
mps-uncap,0.2,0.02002716064453125,0.012874603271484375,0.011682510375976562
mps-uncap,0.3,0.012874603271484375,0.01430511474609375,0.01049041748046875
mps-uncap,0.4,0.013113021850585938,0.0133514404296875,0.010728836059570312
