mode,load,0_densenet169-2,1_inception_v3-32,2_vgg16-8
mps-uncap,0.8,64.27621841430664,74.1900682449341,28.492784500122077
mps-uncap,0.9,106.27789497375493,116.43066406250006,39.487862586975105
mps-uncap,1.0,2974.2635011672974,1213.1694793701174,271.0622787475586
mps-uncap,0.5,32.21559524536133,28.886079788208008,12.866020202636719
mps-uncap,0.6,33.669328689575195,36.46421432495115,15.098047256469723
mps-uncap,0.7,43.43318939208985,46.30370140075682,19.45714950561524
mps-uncap,0.1,28.097867965698242,15.147089958190918,6.24094009399414
mps-uncap,0.2,27.34358310699463,17.76630878448487,8.027172088623047
mps-uncap,0.3,27.312278747558594,20.80612182617188,9.322643280029293
mps-uncap,0.4,28.66494655609131,26.496171951293945,10.279059410095213
