mode,load,0_densenet169-2,1_inception_v3-32,2_vgg16-8
mps-uncap,0.8,41.99488118700264,843.7275973632576,899.1050382549851
mps-uncap,0.9,48.85368146337617,911.0616163257484,984.9343108327569
mps-uncap,1.0,52.858135297145935,990.6385561739133,1115.333077992498
mps-uncap,0.5,26.621024910836688,498.7598609832704,559.3197437598095
mps-uncap,0.6,30.597663725741842,607.3988477173833,656.0434597713712
mps-uncap,0.7,37.84563372649064,686.9070928040203,766.6832913254051
mps-uncap,0.1,6.305133571299548,104.93003344445228,122.06747663965658
mps-uncap,0.2,10.688768304255051,194.58189935931946,214.9579784755841
mps-uncap,0.3,16.480035662188794,277.5994616214305,334.90365940731016
mps-uncap,0.4,21.306896847137196,355.09169344160614,447.4001868207331
