mode,load,0_vgg16-32,1_squeezenet1_0-16,2_vgg13-2
mps-uncap,1.0,25.641202926635742,23.743629455566406,11.450529098510742
mig,1.0,43.901681900024414,10.740518569946289,5.996465682983398
