mode,load,0_densenet161-32,1_mobilenet_v3_large-32,2_mobilenet_v3_large-32
mps-uncap,0.8,0.01239776611328125,0.011682510375976562,0.011444091796875
mps-uncap,0.9,0.012159347534179688,0.011920928955078125,0.012636184692382812
mps-uncap,1.0,0.013113021850585938,0.011920928955078125,0.01239776611328125
mps-uncap,0.5,0.012874603271484375,0.0095367431640625,0.011920928955078125
mps-uncap,0.6,0.012636184692382812,0.011682510375976562,0.0095367431640625
mps-uncap,0.7,0.011920928955078125,0.010013580322265625,0.011444091796875
mps-uncap,0.1,0.020742416381835938,0.012159347534179688,0.01430511474609375
mps-uncap,0.2,0.011920928955078125,0.0133514404296875,0.012636184692382812
mps-uncap,0.3,0.0133514404296875,0.011444091796875,0.011920928955078125
mps-uncap,0.4,0.011920928955078125,0.011682510375976562,0.011682510375976562
