mode,load,0_densenet161-32,1_mobilenet_v3_large-32,2_mobilenet_v3_large-32
mps-uncap,0.8,409.2930137571993,1821.3722345947538,1891.5453216082112
mps-uncap,0.9,464.5232122222247,2018.3640658278375,2038.7541487316844
mps-uncap,1.0,512.2621728877746,1917.6080021942537,1919.6865419733365
mps-uncap,0.5,253.07612866822254,1168.1607926104334,1181.112890656755
mps-uncap,0.6,331.5527179744712,1402.562534850067,1397.2337253445157
mps-uncap,0.7,349.0889721181856,1598.3898665921365,1654.5659621462087
mps-uncap,0.1,58.206795052768875,210.7784067819257,236.2383322062141
mps-uncap,0.2,112.08086575497046,479.92034031063304,474.1067105748787
mps-uncap,0.3,170.70102708577673,713.7039140639993,703.7181959339692
mps-uncap,0.4,212.70033317832747,929.3203766851938,913.2478016266145
