mode,load,0_densenet161-32,1_mobilenet_v3_large-32,2_mobilenet_v3_large-32
mps-uncap,0.8,58.84349346160889,20.960330963134766,21.04144096374512
mps-uncap,0.9,58.67018699645996,22.019147872924805,22.047042846679688
mps-uncap,1.0,58.79526138305664,22.415351867675785,22.392725944519043
mps-uncap,0.5,54.51045036315918,15.899085998535158,16.07680320739746
mps-uncap,0.6,59.18776988983154,17.528295516967773,16.158461570739746
mps-uncap,0.7,62.5455379486084,17.318964004516598,18.360519409179684
mps-uncap,0.1,50.036740303039565,12.53211498260498,12.114238739013672
mps-uncap,0.2,44.95365619659424,12.981033325195314,12.322282791137695
mps-uncap,0.3,48.27542304992676,13.901233673095703,13.345861434936527
mps-uncap,0.4,51.900482177734375,14.060187339782717,14.901304244995117
