mode,load,0_densenet161-32,1_mobilenet_v3_large-32,2_mobilenet_v3_large-32
mps-uncap,0.8,238.8744354248047,113.70015144348145,115.1169538497925
mps-uncap,0.9,381.40766620635986,2090.7010555267334,3159.1413021087646
mps-uncap,1.0,753.7026405334473,9603.847336769106,9851.258039474487
mps-uncap,0.5,92.79596805572511,25.349140167236328,25.92473030090333
mps-uncap,0.6,157.48805999755868,35.18271446228027,29.59728240966797
mps-uncap,0.7,154.71220016479492,40.3285026550293,43.06015968322753
mps-uncap,0.1,56.23798370361328,13.95025253295898,16.68796539306641
mps-uncap,0.2,49.43888187408449,18.100547790527347,18.579101562500004
mps-uncap,0.3,66.3205623626709,19.703149795532227,19.41609382629395
mps-uncap,0.4,76.95090770721436,20.916271209716804,21.49066925048828
