mode,load,0_densenet161-32,1_mobilenet_v3_large-32,2_mobilenet_v3_large-32
mps-uncap,0.8,498.0146884918213,255.12361526489258,256.52003288269043
mps-uncap,0.9,711.2772464752197,2679.8300743103027,3392.883777618408
mps-uncap,1.0,1250.4394054412842,10680.727005004883,11311.81788444519
mps-uncap,0.5,190.17410278320312,69.12088394165039,79.85925674438477
mps-uncap,0.6,284.3770980834961,111.30452156066895,111.62066459655762
mps-uncap,0.7,342.8609371185303,122.8024959564209,138.49806785583496
mps-uncap,0.1,77.02755928039551,31.90326690673828,32.58180618286133
mps-uncap,0.2,80.8115005493164,39.79086875915527,35.83240509033203
mps-uncap,0.3,117.03348159790039,49.94058609008789,68.99881362915039
mps-uncap,0.4,119.26531791687012,56.229352951049805,77.48770713806152
