mode,load,0_densenet161-32,1_mobilenet_v3_large-32,2_mobilenet_v3_large-32
mps-uncap,0.8,33.18142890930176,5.25212287902832,5.252361297607422
mps-uncap,0.9,47.342538833618164,5.311489105224609,5.223989486694336
mps-uncap,1.0,43.40076446533203,5.717754364013672,5.735635757446289
mps-uncap,0.5,32.76824951171875,5.152463912963867,5.396604537963867
mps-uncap,0.6,32.58657455444336,5.138635635375977,5.158185958862305
mps-uncap,0.7,32.94086456298828,5.301952362060547,5.110263824462891
mps-uncap,0.1,32.54866600036621,5.601406097412109,5.810976028442383
mps-uncap,0.2,32.40656852722168,5.524396896362305,5.58018684387207
mps-uncap,0.3,32.43446350097656,5.422830581665039,5.384206771850586
mps-uncap,0.4,32.61995315551758,5.188941955566406,5.166053771972656
