mode,load,0_densenet161-32,1_mobilenet_v3_large-32,2_mobilenet_v3_large-32
mps-uncap,0.8,62.79921531677246,27.260780334472656,27.750015258789062
mps-uncap,0.9,61.82289123535156,28.554201126098633,28.591632843017578
mps-uncap,1.0,64.24307823181152,28.176546096801758,27.289628982543945
mps-uncap,0.5,61.44237518310547,28.171539306640625,28.110742568969727
mps-uncap,0.6,67.596435546875,28.31745147705078,26.33953094482422
mps-uncap,0.7,69.12803649902344,27.61530876159668,28.808116912841797
mps-uncap,0.1,67.40665435791016,31.861305236816406,32.540082931518555
mps-uncap,0.2,56.377410888671875,27.939796447753906,27.184486389160156
mps-uncap,0.3,60.55116653442383,27.42743492126465,27.533292770385742
mps-uncap,0.4,67.89517402648926,27.533769607543945,27.460813522338867
