mode,load,0_densenet161-32,1_mobilenet_v3_large-32,2_mobilenet_v3_large-32
mps-uncap,0.8,345.91221809387207,195.67930698394775,182.58655786514294
mps-uncap,0.9,534.2525863647467,2539.447975158691,3327.6852130889893
mps-uncap,1.0,1064.3865442275992,10550.07481098175,11043.126003742218
mps-uncap,0.5,102.70592927932739,30.877342224121065,36.977262496948235
mps-uncap,0.6,183.3655285835267,61.35859966278083,50.21613836288452
mps-uncap,0.7,214.99664783477763,81.11626625061024,70.05230426788322
mps-uncap,0.1,28.61970663070682,10.267481803894045,11.532137393951416
mps-uncap,0.2,33.690519332885756,12.794213294982839,16.163558959960927
mps-uncap,0.3,58.05201053619382,17.4797058105469,20.886287689208974
mps-uncap,0.4,57.105503082275376,24.057512283325202,30.760078430175756
