mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,27.524900436401367,25.809860229492184,21.540069580078125
mig,0.6,65.0144100189209,9.843444824218754,71.58775329589845
mps-uncap,0.7,30.6161642074585,46.921968460082965,24.259805679321296
mig,0.7,93.49417686462401,12.553811073303223,90.33064842224124
mps-uncap,0.8,35.14497280120849,147.9017972946167,31.347036361694336
mig,0.8,166.83506965637207,18.904805183410645,155.4857015609741
mps-uncap,0.9,41.52507781982422,4282.063961029053,36.64774894714356
mig,0.9,236.65132522583008,36.47208213806152,226.6561508178711
mps-uncap,1.0,55.417776107788114,24034.62109565735,53.609561920166016
mig,1.0,1590.6423568725586,158.84244441986087,901.177215576172
mps-uncap,1.1,76.56979560852051,40228.728437423706,81.15406036376966
mig,1.1,7953.322219848632,6764.807438850404,9207.467699050903
mps-uncap,1.2,104.15878295898438,53728.0791759491,141.70551300048828
mig,1.2,12936.755180358885,11250.263261795044,12557.094049453735
mps-uncap,1.3,237.8764152526858,63141.50490760803,829.5987606048584
mig,1.3,18807.57565498352,17029.362297058105,19666.659736633304
