mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,803.8504106833055,1406.7844232685582,205.250797546274
mig,0.6,764.9331906759521,1376.6061821663475,204.8744883818417
mps-uncap,0.7,914.6560957755746,1585.5893691737663,237.45444388811103
mig,0.7,899.9158001613436,1622.3119118530258,241.78190373628135
mps-uncap,0.8,1010.6817275569448,1836.4729848218035,263.9845094566276
mig,0.8,1046.110231119248,1908.797087406788,270.88744400709845
mps-uncap,0.9,1168.209176768189,1932.1986189548275,302.58021523156094
mig,0.9,1170.3940950754488,2092.2272904225156,294.1485102247444
mps-uncap,1.0,1296.7634031764183,1618.7288280577757,335.8811250586602
mig,1.0,1286.5934548753294,2302.106682349007,334.78193940097316
mps-uncap,1.1,1413.442125796476,1314.4783067648361,380.2369758288464
mig,1.1,1290.185862132806,2336.9161777820004,340.5739842359324
mps-uncap,1.2,1557.7210280627125,982.8831168584027,400.4804167142702
mig,1.2,1290.4566144161777,2342.3950196991286,341.2755015855925
mps-uncap,1.3,1689.2900640946577,630.9615483829524,446.36816507824284
mig,1.3,1291.519585060415,2339.741626673625,341.0291005812499
