mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,12.82644271850586,2.0999908447265625,8.065462112426758
mig,0.6,23.346662521362305,3.1538009643554688,22.512197494506836
mps-uncap,0.7,13.732194900512695,1.9915103912353516,8.376359939575195
mig,0.7,23.621320724487305,3.1914710998535156,22.63617515563965
mps-uncap,0.8,14.208793640136719,1.811981201171875,9.084463119506836
mig,0.8,24.006366729736328,3.240346908569336,22.90165424346924
mps-uncap,0.9,14.707565307617188,1.7986297607421875,10.568380355834961
mig,0.9,24.236202239990234,3.2808780670166016,23.104071617126465
mps-uncap,1.0,15.468001365661621,2.000570297241211,15.491724014282227
mig,1.0,24.582862854003906,3.3293962478637695,23.32282066345215
mps-uncap,1.1,16.041994094848633,2.9642581939697266,17.09580421447754
mig,1.1,24.591445922851562,3.3349990844726562,23.356199264526367
mps-uncap,1.2,16.66712760925293,5.470514297485352,17.847418785095215
mig,1.2,24.61719512939453,3.3376216888427734,23.346900939941406
mps-uncap,1.3,17.31252670288086,16.28899574279785,18.31650733947754
mig,1.3,24.570345878601074,3.3304691314697266,23.34606647491455
