mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,21.037578582763672,22.699356079101562,25.758743286132812
mig,0.6,30.297040939331055,11.54470443725586,32.289743423461914
mps-uncap,0.7,22.52936363220215,23.120641708374023,23.745298385620117
mig,0.7,29.357433319091797,16.131877899169922,26.128053665161133
mps-uncap,0.8,21.718978881835938,22.932052612304688,24.529695510864258
mig,0.8,29.611825942993164,11.584043502807617,28.53226661682129
mps-uncap,0.9,21.589040756225586,23.322343826293945,25.516033172607422
mig,0.9,31.066179275512695,11.889457702636719,27.973651885986328
mps-uncap,1.0,21.884679794311523,24.127960205078125,25.089025497436523
mig,1.0,29.811382293701172,12.130260467529297,29.96659278869629
mps-uncap,1.1,21.56972885131836,24.032115936279297,25.341033935546875
mig,1.1,29.5259952545166,6.811618804931641,26.797056198120117
mps-uncap,1.2,30.957698822021484,26.838302612304688,25.516986846923828
mig,1.2,29.259920120239258,10.692358016967773,27.42171287536621
mps-uncap,1.3,20.949602127075195,30.309200286865234,25.655508041381836
mig,1.3,29.02054786682129,11.489629745483398,27.599573135375977
