mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,0.026941299438476562,1.8999576568603516,0.02574920654296875
mig,0.6,5.213260650634766,0.8969306945800781,8.835554122924805
mps-uncap,0.7,0.026464462280273438,5.308628082275391,0.020265579223632812
mig,0.7,15.820026397705078,2.1927356719970703,16.803979873657227
mps-uncap,0.8,0.026345252990722656,22.23527431488037,0.019073486328125
mig,0.8,31.53705596923828,3.8657188415527344,27.166128158569336
mps-uncap,0.9,2.513885498046875,2973.9065170288086,0.024557113647460938
mig,0.9,64.84246253967285,8.664608001708984,51.42199993133545
mps-uncap,1.0,6.855607032775879,13106.223821640015,3.991365432739258
mig,1.0,826.3866901397705,53.1085729598999,491.7869567871094
mps-uncap,1.1,11.093616485595703,20415.398359298706,11.423945426940918
mig,1.1,4873.689651489258,3635.3944540023804,5006.979942321777
mps-uncap,1.2,19.26398277282715,31265.681266784668,26.10194683074951
mig,1.2,7962.350368499756,6242.355585098267,7248.047590255737
mps-uncap,1.3,50.01568794250488,36518.55647563934,339.5192623138428
mig,1.3,10265.5348777771,8961.725950241089,9436.830878257751
