mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,19.562568664550785,16.159143447875977,21.011290550231934
mig,0.6,27.331695556640632,4.953460693359375,24.49063062667847
mps-uncap,0.7,19.644999504089355,16.617140769958496,21.550884246826165
mig,0.7,27.489042282104496,4.931652545928956,24.575309753417965
mps-uncap,0.8,19.508674144744873,17.059166431427006,21.72207832336425
mig,0.8,27.706146240234375,4.9343109130859375,25.026142597198486
mps-uncap,0.9,19.96550559997559,17.420291900634766,22.189426422119137
mig,0.9,27.80162811279297,4.891395568847656,25.070185661315914
mps-uncap,1.0,20.133819580078125,17.94316291809082,22.75039434432983
mig,1.0,28.083655834197998,4.8606538772583034,25.204968452453613
mps-uncap,1.1,20.018243789672855,18.536572456359867,22.92981624603272
mig,1.1,27.88039207458496,4.806773662567139,24.97176170349121
mps-uncap,1.2,19.98539924621582,20.389499664306637,23.380339145660404
mig,1.2,27.86452293395996,4.707412719726564,24.868059158325195
mps-uncap,1.3,18.585758209228512,21.836264133453362,23.447208404541016
mig,1.3,27.85611391067505,4.727306365966799,25.120830535888672
