mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,16.586875915527344,8.781003952026367,17.822742462158203
mig,0.6,26.110267639160156,3.786134719848633,23.406267166137695
mps-uncap,0.7,16.843128204345703,10.081768035888665,18.52879524230958
mig,0.7,26.056623458862305,3.728151321411133,23.37336540222168
mps-uncap,0.8,17.110967636108395,10.604357719421385,18.881797790527344
mig,0.8,26.058673858642578,3.6985158920288086,23.57177734375
mps-uncap,0.9,17.355680465698242,11.299610137939453,19.602489471435547
mig,0.9,26.02086067199707,3.6458969116210938,23.722171783447266
mps-uncap,1.0,17.698240280151367,14.64943885803223,20.20442485809326
mig,1.0,25.55720806121826,3.6253690719604497,23.78253936767578
mps-uncap,1.1,17.722368240356445,16.542959213256843,20.885944366455078
mig,1.1,25.408124923706055,3.592252731323242,23.7764835357666
mps-uncap,1.2,17.861318588256836,17.51422882080078,21.23701572418213
mig,1.2,25.286340713500977,3.5691261291503906,23.708534240722656
mps-uncap,1.3,17.977190017700195,18.039631843566895,21.4357852935791
mig,1.3,25.326991081237793,3.6051273345947266,23.76875877380371
