mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,14.952659606933594,5.739450454711914,9.751319885253906
mig,0.6,29.195547103881836,4.401206970214844,31.48806095123291
mps-uncap,0.7,15.548467636108398,9.69839096069336,12.028217315673828
mig,0.7,39.66188430786133,5.491137504577637,39.53385353088379
mps-uncap,0.8,16.13461971282959,26.337027549743652,15.02227783203125
mig,0.8,56.01775646209717,7.238864898681641,50.20797252655029
mps-uncap,0.9,18.13793182373047,2979.0159463882446,17.50469207763672
mig,0.9,89.13183212280273,12.018918991088867,74.47218894958496
mps-uncap,1.0,22.128820419311523,13112.090110778809,19.69468593597412
mig,1.0,851.3648509979248,56.493401527404785,515.2449607849121
mps-uncap,1.1,26.92270278930664,20420.860767364502,26.2298583984375
mig,1.1,4898.19073677063,3638.7377977371216,5030.715465545654
mps-uncap,1.2,35.68387031555176,31269.874095916748,41.88704490661621
mig,1.2,7987.176418304443,6245.679616928101,7271.344184875488
mps-uncap,1.3,67.4288272857666,36536.23425960541,356.42194747924805
mig,1.3,10290.031790733337,8965.053081512451,9460.309743881226
