mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,0.012636184692382812,0.011444091796875,0.013113021850585938
mig,0.6,0.012874603271484375,0.011205673217773438,0.011205673217773438
mps-uncap,0.7,0.011205673217773438,0.010967254638671875,0.012636184692382812
mig,0.7,0.012159347534179688,0.010728836059570312,0.012636184692382812
mps-uncap,0.8,0.01239776611328125,0.011205673217773438,0.012636184692382812
mig,0.8,0.013828277587890625,0.011205673217773438,0.011205673217773438
mps-uncap,0.9,0.011444091796875,0.013589859008789062,0.012636184692382812
mig,0.9,0.013589859008789062,0.012159347534179688,0.011920928955078125
mps-uncap,1.0,0.013113021850585938,0.013589859008789062,0.011920928955078125
mig,1.0,0.016927719116210938,0.012874603271484375,0.013113021850585938
mps-uncap,1.1,0.011444091796875,0.0133514404296875,0.011205673217773438
mig,1.1,0.018596649169921875,0.0133514404296875,0.01430511474609375
mps-uncap,1.2,0.011205673217773438,0.015020370483398438,0.013113021850585938
mig,1.2,0.01430511474609375,0.014066696166992188,0.014066696166992188
mps-uncap,1.3,0.013113021850585938,0.014781951904296875,0.013589859008789062
mig,1.3,0.017642974853515625,0.013828277587890625,0.018835067749023438
