mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,11.017084121704102,1.7178058624267578,6.480932235717773
mig,0.6,22.59540557861328,3.0176639556884766,22.145748138427734
mps-uncap,0.7,10.92386245727539,1.703023910522461,6.507635116577148
mig,0.7,22.619247436523438,3.0090808868408203,22.15409278869629
mps-uncap,0.8,11.15727424621582,1.6939640045166016,6.545066833496094
mig,0.8,22.734642028808594,3.005504608154297,22.182226181030273
mps-uncap,0.9,11.410951614379883,1.7359256744384766,7.17616081237793
mig,0.9,22.93872833251953,3.0312538146972656,22.229433059692383
mps-uncap,1.0,11.492490768432617,1.7616748809814453,6.644010543823242
mig,1.0,22.92013168334961,3.102540969848633,22.21512794494629
mps-uncap,1.1,11.679649353027344,1.7693042755126953,7.386207580566406
mig,1.1,23.354768753051758,3.0434131622314453,22.311687469482422
mps-uncap,1.2,11.539936065673828,1.7709732055664062,7.4138641357421875
mig,1.2,22.933483123779297,3.0548572540283203,22.485017776489258
mps-uncap,1.3,11.841535568237305,1.7938613891601562,7.765769958496094
mig,1.3,23.35071563720703,3.134012222290039,22.371768951416016
