mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,32.02797889709482,71.39818191528322,28.430223464965827
mig,0.6,80.51955223083515,14.010820388793942,100.61030149459843
mps-uncap,0.7,47.62530326843262,132.96978950500392,32.87592887878412
mig,0.7,149.50863838195804,20.20790576934816,121.96203231811519
mps-uncap,0.8,60.183990001678445,248.25344800949097,49.55949783325189
mig,0.8,257.1644186973572,31.29211902618409,321.224524974823
mps-uncap,0.9,62.24740982055665,5599.897623062134,51.44046306610102
mig,0.9,407.5678825378417,56.60581588745117,307.28563547134394
mps-uncap,1.0,79.01572942733767,26791.50321006775,94.27907466888422
mig,1.0,1713.5104513168335,194.9972248077393,1028.016324043273
mps-uncap,1.1,127.9466152191163,43064.10746574402,165.65965890884414
mig,1.1,9057.827415466309,7460.785541534424,9921.547355651855
mps-uncap,1.2,169.52754974365234,57720.15811920166,305.96743822097795
mig,1.2,14396.91062927246,12403.894128799438,14196.924481391907
mps-uncap,1.3,666.540622711181,70969.42507743834,916.5686321258545
mig,1.3,20558.16437482834,19126.91735267639,21668.947403430935
