mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,66.68496131896973,146.29340171813965,70.53399085998535
mig,0.6,143.74399185180664,33.68067741394043,166.9473648071289
mps-uncap,0.7,92.76938438415527,224.1992950439453,79.79130744934082
mig,0.7,222.21946716308594,45.08066177368164,228.08575630187988
mps-uncap,0.8,117.66552925109863,343.2023525238037,109.51399803161621
mig,0.8,340.6331539154053,60.70876121520996,438.86470794677734
mps-uncap,0.9,108.7942123413086,5885.727405548096,116.73498153686523
mig,0.9,500.0648498535156,83.60910415649414,414.01004791259766
mps-uncap,1.0,153.29241752624512,27124.60422515869,171.80204391479492
mig,1.0,1822.8189945220947,221.56381607055664,1165.8217906951904
mps-uncap,1.1,213.89269828796387,43837.50295639038,280.41696548461914
mig,1.1,9306.186437606812,7589.212894439697,10090.413093566895
mps-uncap,1.2,248.37303161621094,58312.294006347656,418.8692569732666
mig,1.2,14568.943500518799,12595.371723175049,14518.133401870728
mps-uncap,1.3,796.379804611206,71829.38003540039,993.3016300201416
mig,1.3,20854.480028152466,19423.890590667725,21945.500135421753
