mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,45.60374259948732,76.83407783508306,43.7212944030762
mig,0.6,103.80576133728044,17.424287796020508,123.31764936447148
mps-uncap,0.7,62.97323942184449,137.70552635192863,45.5447673797607
mig,0.7,173.5735416412354,23.608779907226577,144.83139038085932
mps-uncap,0.8,74.97575044631955,251.19408845901492,65.94066619873045
mig,0.8,281.3621163368225,34.74400043487552,344.062032699585
mps-uncap,0.9,78.15964698791508,5602.712988853455,67.55666732788073
mig,0.9,432.80700683593744,59.993743896484375,330.73898792266834
mps-uncap,1.0,94.68339204788211,26797.976574897766,109.64700222015378
mig,1.0,1738.0075812339783,198.7135267257691,1051.8676519393912
mps-uncap,1.1,145.16508579254165,43067.44752883911,177.73529291152963
mig,1.1,9082.492151260376,7464.159548282623,9944.77255821228
mps-uncap,1.2,186.8926906585693,57724.975509643555,325.333082675934
mig,1.2,14421.505432128906,12407.448148727417,14220.224342346191
mps-uncap,1.3,684.0951633453363,70987.72190332413,935.1685905456543
mig,1.3,20583.41407060623,19130.401763916016,21692.594518661495
