mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,12.857198715209964,20.706653594970696,8.8953971862793
mig,0.6,41.13464355468747,6.478404998779297,49.056029319763184
mps-uncap,0.7,14.900708198547363,42.49906539916991,11.935091018676777
mig,0.7,69.44146156311032,9.17971134185791,67.42215156555177
mps-uncap,0.8,19.842767715454098,144.3126678466797,16.680240631103516
mig,0.8,142.5410509109497,15.523004531860359,132.2150468826294
mps-uncap,0.9,25.952863693237294,4278.320670127869,22.161960601806644
mig,0.9,211.40336990356437,33.08534622192383,203.57875823974612
mps-uncap,1.0,38.986325263977065,24029.03504371643,37.854909896850586
mig,1.0,1565.685796737671,155.39300441741943,877.2702217102052
mps-uncap,1.1,61.22446060180664,40225.95777511597,64.59503173828125
mig,1.1,7928.487300872802,6761.391115188599,9184.19828414917
mps-uncap,1.2,87.49680519104002,53720.80283164979,124.3290901184082
mig,1.2,12912.150001525879,11246.626043319702,12533.763694763184
mps-uncap,1.3,221.32372856140137,63128.54790687561,813.2362842559813
mig,1.3,18781.305265426636,17025.732707977295,19643.511700630188
