mode,load,0_vgg11-32,1_squeezenet1_1-8,2_vgg19-8
mps-uncap,0.6,51.7120361328125,143.446683883667,52.72865295410156
mig,0.6,119.82250213623047,30.60173988342285,144.7610855102539
mps-uncap,0.7,74.47099685668945,218.29819679260254,61.34438514709473
mig,0.7,198.4536647796631,41.936635971069336,205.62338829040527
mps-uncap,0.8,99.95102882385254,341.4762020111084,86.84158325195312
mig,0.8,316.49327278137207,57.392120361328125,416.5170192718506
mps-uncap,0.9,94.22922134399414,5883.623361587524,101.14455223083496
mig,0.9,474.72262382507324,80.3375244140625,390.7935619354248
mps-uncap,1.0,135.8664035797119,27122.38121032715,150.6948471069336
mig,1.0,1798.4509468078613,218.23954582214355,1142.3592567443848
mps-uncap,1.1,196.20776176452637,43821.436405181885,262.7725601196289
mig,1.1,9281.886339187622,7585.880756378174,10067.174434661865
mps-uncap,1.2,231.11772537231445,58291.17226600647,400.76160430908203
mig,1.2,14544.916868209839,12588.778495788574,14494.54116821289
mps-uncap,1.3,781.2173366546631,71808.82501602173,974.9817848205566
mig,1.3,20830.55067062378,19415.274143218994,21922.66058921814
