mode,load,0_densenet169-2,1_vgg13-16,2_vgg13-8
mps-uncap,0.8,548.1305122375488,249.42851066589355,168.8988208770752
mps-uncap,0.9,866.4300441741943,1319.7381496429443,766.948938369751
mps-uncap,1.0,4078.486442565918,7206.386089324951,2449.711799621582
mps-uncap,0.5,94.99716758728027,81.69817924499512,54.253339767456055
mps-uncap,0.6,178.69186401367188,88.6240005493164,54.471492767333984
mps-uncap,0.7,193.40872764587402,97.89800643920898,81.82287216186523
mps-uncap,0.1,42.8624153137207,37.70804405212402,18.294572830200195
mps-uncap,0.2,73.5769271850586,40.4665470123291,22.950410842895508
mps-uncap,0.3,72.99232482910156,42.86646842956543,31.08811378479004
mps-uncap,0.4,85.3583812713623,49.6675968170166,56.0154914855957
