mode,load,0_efficientnet_b7-2,1_efficientnet_b7-2,2_efficientnet_b7-2,3_efficientnet_b7-2
mig,0.1,8.60166549682619,14.542722702026369,9.845304489135737,6.054401397705078
mig,0.2,17.46249198913576,18.788743019104,18.22364330291748,16.774582862854007
mig,0.3,28.07912826538086,23.654150962829593,24.678754806518597,23.027992248535156
mig,0.4,44.172787666320815,39.62907791137695,44.651460647583,29.499530792236328
mig,0.5,85.98308563232423,85.75227260589601,67.71636009216309,45.64361572265625
mig,0.6,233.50906372070312,314.77193832397467,206.7636966705322,50.416660308837905
mig,0.7,2164.084219932556,2536.3452434539795,3593.4386491775513,114.59722518920897
mig,0.8,8879.814624786377,6498.318243026733,8179.61540222168,114.77019786834718
mig,0.9,12782.220602035522,13111.96599006653,13150.69546699524,383.61482620239275
mig,1.0,16990.697240829468,16600.333976745605,17181.47029876709,3482.4414730072026
