mode,load,0_mobilenet_v3_large-2,1_vgg11-32,2_vgg16-2
mps-uncap,0.8,2.377152442932129,9.432077407836914,0.052928924560546875
mps-uncap,0.9,12.584447860717773,19.79970932006836,5.737543106079102
mps-uncap,1.0,430.65547943115234,141.61157608032227,84.46836471557617
mps-uncap,0.5,0.04863739013671875,0.04839897155761719,0.046253204345703125
mps-uncap,0.6,0.04744529724121094,2.1877288818359375,0.04553794860839844
mps-uncap,0.7,0.04875659942626953,5.84721565246582,0.04506111145019531
mps-uncap,0.1,0.06079673767089844,0.056743621826171875,0.05841255187988281
mps-uncap,0.2,0.0553131103515625,0.05412101745605469,0.05435943603515625
mps-uncap,0.3,0.05173683166503906,0.0514984130859375,0.049114227294921875
mps-uncap,0.4,0.05030632019042969,0.04935264587402344,0.048160552978515625
