mode,load,0_mobilenet_v3_large-2,1_vgg11-32,2_vgg16-2
mps-uncap,0.8,20.3908109664917,12.156126499176025,12.121925354003908
mps-uncap,0.9,21.199140548706065,12.208342552185059,12.506082057952895
mps-uncap,1.0,19.148926734924302,12.332606315612793,12.41591453552246
mps-uncap,0.5,17.0560121536255,11.535592079162598,11.374683380126955
mps-uncap,0.6,18.34520816802978,11.705875396728516,11.618044376373291
mps-uncap,0.7,19.351091384887706,11.858534812927246,11.867697238922112
mps-uncap,0.1,11.959240436553946,10.74960708618164,9.440591335296633
mps-uncap,0.2,12.508876323699951,10.953304767608643,10.630464553833008
mps-uncap,0.3,13.704290390014643,11.14854335784913,10.909309387207033
mps-uncap,0.4,13.867454528808594,11.236000061035156,11.035270690917972
