mode,load,0_mobilenet_v3_large-2,1_vgg11-32,2_vgg16-2
mps-uncap,0.8,0.010967254638671875,0.01049041748046875,0.009775161743164062
mps-uncap,0.9,0.010728836059570312,0.01049041748046875,0.01049041748046875
mps-uncap,1.0,0.010967254638671875,0.010967254638671875,0.010967254638671875
mps-uncap,0.5,0.010967254638671875,0.009298324584960938,0.010251998901367188
mps-uncap,0.6,0.008821487426757812,0.0095367431640625,0.01049041748046875
mps-uncap,0.7,0.010728836059570312,0.009298324584960938,0.010728836059570312
mps-uncap,0.1,0.012636184692382812,0.012636184692382812,0.010967254638671875
mps-uncap,0.2,0.011920928955078125,0.009775161743164062,0.011444091796875
mps-uncap,0.3,0.011205673217773438,0.011205673217773438,0.011682510375976562
mps-uncap,0.4,0.011205673217773438,0.011682510375976562,0.011205673217773438
