mode,load,0_mobilenet_v3_large-2,1_vgg11-32,2_vgg16-2
mps-uncap,0.8,2.8007030487060547,9.91511344909668,1.954793930053711
mps-uncap,0.9,2.780437469482422,9.93967056274414,1.9495487213134766
mps-uncap,1.0,2.7883052825927734,10.174036026000977,2.0596981048583984
mps-uncap,0.5,2.829313278198242,9.87863540649414,1.9741058349609375
mps-uncap,0.6,2.8405189514160156,9.86623764038086,1.9695758819580078
mps-uncap,0.7,2.742290496826172,9.862184524536133,1.9633769989013672
mps-uncap,0.1,2.779722213745117,9.854793548583984,1.9397735595703125
mps-uncap,0.2,2.928018569946289,9.831666946411133,1.9423961639404297
mps-uncap,0.3,2.826690673828125,9.826421737670898,1.9328594207763672
mps-uncap,0.4,2.816438674926758,9.851694107055664,1.939535140991211
