mode,load,1_mobilenet_v2-2,2_resnet101-32
mps-uncap,0.1,7.916092872619622,20.641856193542466
mps-uncap,0.2,9.574143886566157,21.922287940979004
mps-uncap,0.3,14.047276973724365,13.81266117095947
mps-uncap,0.4,21.975829601287774,22.567162513732907
mps-uncap,0.5,24.527585506439205,266.385736465454
mps-uncap,0.6,39.92767333984374,58.58458280563352
mps-uncap,0.7,53.8490295410156,99.91606473922731
mps-uncap,0.8,72.13840723037723,231.77118778228746
mps-uncap,0.9,72.80342102050778,599.0211296081543
mps-uncap,1.0,173.32221746444705,1196.3377952575684
mps-uncap,1.1,897.0930933952332,1345.7542991638184
mps-uncap,1.2,2161.109240055084,3697.9959392547607
mps-uncap,1.3,3568.956363201141,4406.036186218262
mps-uncap,1.4,4846.818866729735,5980.4552364349365
mps-uncap,1.5,5767.608680725098,5483.162240982056
orion,0.1,38.08644533157356,18.341407775878896
orion,0.2,60.31406402587903,128.30183982849135
orion,0.3,69.27423000335686,205.5620074272156
orion,0.4,298.56349229812594,113.7812948226927
orion,0.5,1162.0198607444763,149.60622787475586
orion,0.6,3667.624254226685,306.69635057449347
orion,0.7,10618.873357772827,259.4751214981081
orion,0.8,289.1515159606934,10740.763034820557
orion,0.9,702.6487350463871,16009.549343585966
orion,1.0,16844.810709953308,447.03986644744873
orion,1.1,1916.0536766052248,18202.181429862976
orion,1.2,1956.1703300476074,18973.400316238403
orion,1.3,2945.9568119049077,18625.913739204407
orion,1.4,19425.8549785614,5551.673316955566
orion,1.5,6161.623399257659,19384.601154327393
ts,0.1,6.569087505340576,0.10172605514526367
ts,0.2,10.536851882934569,6.824350357055631
ts,0.3,12.942752838134767,12.90366649627685
ts,0.4,15.954196453094482,38.742694854736186
ts,0.5,23.204100131988515,225.3633260726929
ts,0.6,27.308578491210934,206.38601779937747
ts,0.7,40.7510209083557,218.18230152130127
ts,0.8,57.71589279174805,899.108018875122
ts,0.9,151.71614170074474,1542.3592376708987
ts,1.0,215.17929553985593,3307.0564174652095
ts,1.1,265.6100749969483,7017.936882972717
ts,1.2,3780.1242232322693,6712.108099460602
ts,1.3,4464.514245986938,7215.493793487549
ts,1.4,3631.4163875579834,9081.02822303772
ts,1.5,4561.956503391266,9319.580574035645
