mode,load,0_mobilenet_v2-2,1_resnet101-32
mps-uncap,0.1,19.71659115405171,61.78403748796337
mps-uncap,0.2,40.24372776503458,127.34174820996905
mps-uncap,0.3,59.71481975595327,188.6495238767865
mps-uncap,0.4,78.80016348117083,239.4052370701845
mps-uncap,0.5,98.41703258056631,313.68168030844635
mps-uncap,0.6,117.92932906899097,378.3288843159971
mps-uncap,0.7,137.5147235458814,432.2792000642384
mps-uncap,0.8,158.4273508742835,498.3550425793562
mps-uncap,0.9,173.60506313655978,571.6717033138489
mps-uncap,1.0,193.3434930693525,607.8683071614315
mps-uncap,1.1,199.49300891018743,622.4202937478169
mps-uncap,1.2,200.56811647793486,622.7676303524637
mps-uncap,1.3,195.61528041804746,623.2380462160252
mps-uncap,1.4,203.85418834748108,621.7268068030543
mps-uncap,1.5,203.12330623931325,623.3560267621383
orion,0.1,19.370118462304866,61.627864734634386
orion,0.2,37.27909061829665,122.51144795306203
orion,0.3,54.377572286795335,182.51026234252382
orion,0.4,68.97440385778559,233.3322265425503
orion,0.5,84.58662405647179,303.4034554204801
orion,0.6,91.38951269353294,360.8413778141307
orion,0.7,102.79475444208815,405.91802043531794
orion,0.8,92.45220784554559,442.0952923625881
orion,0.9,71.13583410199725,489.333145724972
orion,1.0,47.843694862481776,542.5934008714696
orion,1.1,34.99746082417835,577.8366856554339
orion,1.2,22.19027921923562,604.9062602569373
orion,1.3,8.176532120688655,643.0790368508196
orion,1.4,5.0781552676988975,649.510118260954
orion,1.5,4.744978255932528,650.8134771838718
ts,0.1,19.721075603141202,51.600043702088826
ts,0.2,39.13359615038114,126.16044721449117
ts,0.3,58.2925738179024,187.95815388581786
ts,0.4,78.39555248696463,262.8875402724627
ts,0.5,100.16348912232952,320.8676609162176
ts,0.6,117.79669795767842,375.6607084719794
ts,0.7,136.78458734216318,418.22565139849564
ts,0.8,156.09181374357186,490.08951494244354
ts,0.9,176.8917071328133,511.10331090916884
ts,1.0,198.3782287986255,495.6484712064143
ts,1.1,213.19324691308432,484.64407643488806
ts,1.2,227.43554591177488,472.9142979736793
ts,1.3,235.1911534013029,471.0520806384147
ts,1.4,212.50783645929553,477.72327085273685
ts,1.5,234.68712643608694,470.229673683566
