mode,load,0_mobilenet_v2-2,1_resnet101-32
mps-uncap,0.1,0.09672641754150392,6.649899482727061
mps-uncap,0.2,3.999519348144529,29.019236564636234
mps-uncap,0.3,6.887960433959962,34.450340270996094
mps-uncap,0.4,8.640527725219727,53.42311859130861
mps-uncap,0.5,12.196540832519531,77.7929306030274
mps-uncap,0.6,16.617536544799805,102.20961570739746
mps-uncap,0.7,23.798465728759766,145.8115577697754
mps-uncap,0.8,39.72899913787842,268.5882568359375
mps-uncap,0.9,66.24007225036621,557.7816486358645
mps-uncap,1.0,775.6364345550537,5405.2011013031
mps-uncap,1.1,9272.859811782837,14256.6912651062
mps-uncap,1.2,9994.946193695068,20976.568698883057
mps-uncap,1.3,10243.37227344513,24606.376481056213
mps-uncap,1.4,9787.435936927795,30065.553784370422
mps-uncap,1.5,9862.450504302979,39228.32565307618
orion,0.1,0.1213550567626965,0.06945133209228517
orion,0.2,6.819176673889158,0.08916854858398438
orion,0.3,20.745706558227543,35.58931350708008
orion,0.4,63.25268745422363,43.22075843811035
orion,0.5,140.34700393676758,47.89433479309082
orion,0.6,334.70280170440674,48.95803928375244
orion,0.7,1121.7231750488284,49.454402923584
orion,0.8,18241.335654258735,97.3511934280396
orion,0.9,27912.135076522827,94.57287788391113
orion,1.0,42278.948616981506,146.91858291625977
orion,1.1,68016.10431671143,294.1181182861328
orion,1.2,78211.07301712036,561.1214637756348
orion,1.3,97239.55535888672,981.2434196472168
orion,1.4,102403.1418323517,5303.7736892700195
orion,1.5,104005.35554885864,10227.007675170898
ts,0.1,0.1081228256225586,1.7541408538818402
ts,0.2,4.183292388916024,25.260686874389656
ts,0.3,6.471681594848633,47.99904823303223
ts,0.4,7.613062858581539,61.388492584228516
ts,0.5,10.0689172744751,103.99091243743896
ts,0.6,16.551566123962402,171.8111991882326
ts,0.7,17.444324493408192,260.7486248016358
ts,0.8,21.917057037353512,1309.0157032012937
ts,0.9,34.992146492004395,7595.207548141481
ts,1.0,57.30195045471192,20275.593090057373
ts,1.1,108.34956169128417,30223.020219802856
ts,1.2,2143.4346675872803,39216.77989959717
ts,1.3,7841.578364372253,45104.32014465332
ts,1.4,9383.899927139282,47719.65107917786
ts,1.5,8533.114647865295,53310.96761226655
