mode,load,0_mobilenet_v2-2,1_resnet101-32
mps-uncap,0.1,23.264408111572266,101.531982421875
mps-uncap,0.2,34.61289405822754,194.1077709197998
mps-uncap,0.3,40.31562805175781,155.60126304626465
mps-uncap,0.4,49.44252967834473,240.89765548706055
mps-uncap,0.5,87.72397041320801,409.4703197479248
mps-uncap,0.6,105.34262657165527,373.2800483703613
mps-uncap,0.7,111.30380630493164,439.52226638793945
mps-uncap,0.8,137.09497451782227,765.6493186950684
mps-uncap,0.9,210.01911163330078,1174.0944385528564
mps-uncap,1.0,1420.6876754760742,6836.768865585327
mps-uncap,1.1,10032.252550125122,15406.522035598755
mps-uncap,1.2,10199.384212493896,22887.762546539307
mps-uncap,1.3,10276.768922805786,28993.08490753174
mps-uncap,1.4,10363.040208816528,32973.830461502075
mps-uncap,1.5,9899.280548095703,43289.09420967102
orion,0.1,107.82790184020996,97.68438339233398
orion,0.2,201.75886154174805,125.39219856262207
orion,0.3,289.2613410949707,147.15170860290527
orion,0.4,544.1544055938721,146.79837226867676
orion,0.5,566.770076751709,195.9707736968994
orion,0.6,1005.0280094146729,292.36793518066406
orion,0.7,2486.2380027770996,266.1569118499756
orion,0.8,21252.196073532104,343.37687492370605
orion,0.9,30005.367279052734,264.02854919433594
orion,1.0,44026.824951171875,490.863561630249
orion,1.1,76390.07663726807,862.138032913208
orion,1.2,97621.19126319885,1520.6859111785889
orion,1.3,112329.41508293152,1325.3180980682373
orion,1.4,115672.24144935608,5943.436861038208
orion,1.5,116249.22132492065,11996.236801147461
ts,0.1,22.389650344848633,91.4757251739502
ts,0.2,41.45550727844238,153.4409523010254
ts,0.3,101.61900520324707,256.1526298522949
ts,0.4,43.93625259399414,330.3637504577637
ts,0.5,64.86248970031738,459.7005844116211
ts,0.6,72.65901565551758,467.3476219177246
ts,0.7,88.71579170227051,827.7890682220459
ts,0.8,473.86789321899414,2048.8409996032715
ts,0.9,128.57961654663086,9958.002090454102
ts,1.0,582.190752029419,22493.180751800537
ts,1.1,1275.449514389038,34091.559648513794
ts,1.2,2889.885425567627,43513.45157623291
ts,1.3,8491.824626922607,50430.09161949158
ts,1.4,9486.96517944336,53256.4959526062
ts,1.5,8593.349695205688,58797.40023612976
