mode,load,0_efficientnet_b6-32,1_densenet169-4,2_resnet50-16
mps-uncap,1.0,63.74216079711914,63.25054168701172,28.649091720581055
mig,1.0,88.35530281066895,23.259401321411133,27.106285095214844
