mode,load,0_efficientnet_b6-32,1_densenet169-4,2_resnet50-16
mps-uncap,1.0,63.74239921569824,63.25078010559082,28.649568557739258
mig,1.0,88.35530281066895,23.259639739990234,27.106523513793945
