mode,load,0_efficientnet_b6-32,1_densenet169-4,2_resnet50-16
mps-uncap,1.0,49.809932708740234,35.69674491882324,13.512611389160156
mig,1.0,79.47611808776855,16.727685928344727,23.456811904907227
